# Macro exposure map (SPEC 48.3) - which businesses each macro factor helps or hurts, and why.
#
# THIS FILE IS THE FEATURE. The language model that reads the news never names a company and never
# decides a direction for one; it extracts what happened, and these rules decide who is affected.
#
# factor    - a MacroFactor enum name. MacroFactor.risesMeans() defines which way "up" is.
# scope     - SYMBOL | INDUSTRY | SECTOR. Precedence on read is SYMBOL > INDUSTRY > SECTOR,
#             first match per factor. A sector is often the wrong unit: ENERGY holds both a company
#             that sells crude and one that buys it, so where the sector is wrong, name the symbol.
# key       - a bare NSE trading symbol, an NSE industry spelling, or a SectorMapping bucket.
#             Validated at boot: a key nothing can produce is a startup error, not a silent no-match.
# onRise    - HELPED | HURT | MIXED. What a RISE in the factor does to this business.
#             MIXED is never netted off: two real opposing effects must not become a small number.
# strength  - HIGH | MEDIUM | LOW. How much of the business the channel touches. A label for the
#             reader, never a multiplier - nothing here is arithmetic.
# channel   - two or three words naming how the factor reaches the profit and loss. No commas.
# rationale - one sentence a non-expert can check the rule against. May contain commas.
#
# Two things this map deliberately does NOT do. It never infers a second-order factor: a war does
# not imply a crude rise here, because inferring one would manufacture an event nobody reported.
# And it never says buy or sell - the vocabulary downstream has no such word in it.
factor,scope,key,onRise,strength,channel,rationale

# ============================================================================ CRUDE_OIL
# Rises = the price of Brent crude goes up. India imports roughly 85% of the oil it uses.
CRUDE_OIL,SYMBOL,ONGC,HELPED,HIGH,realisation,Sells the crude it produces, so a higher price is straightforwardly more revenue on the same barrels.
CRUDE_OIL,SYMBOL,OIL,HELPED,HIGH,realisation,An oil and gas producer whose selling price is the factor itself.
CRUDE_OIL,SYMBOL,RELIANCE,MIXED,MEDIUM,both ends,Produces oil and also refines it, so a rise helps one half of the company and squeezes the other - the two are not netted off here because they are genuinely different businesses.
CRUDE_OIL,SYMBOL,HINDPETRO,HURT,MEDIUM,marketing margin,A state refiner that buys crude and sells petrol and diesel at prices the government watches, so the squeeze lands on its own margin.
CRUDE_OIL,SYMBOL,BPCL,HURT,MEDIUM,marketing margin,Same as the other state refiners: the crude bill rises immediately and the pump price does not.
CRUDE_OIL,SYMBOL,IOC,HURT,MEDIUM,marketing margin,India's largest fuel retailer, and the one most exposed when pump prices are held while crude rises.
CRUDE_OIL,SYMBOL,ASIANPAINT,HURT,HIGH,input cost,Crude derivatives are more than half the raw material in a tin of paint, so this reaches the gross margin within a quarter.
CRUDE_OIL,SYMBOL,BERGEPAINT,HURT,HIGH,input cost,Same chemistry and the same exposure as every other paint maker.
CRUDE_OIL,SYMBOL,KANSAINER,HURT,HIGH,input cost,Paint raw materials are largely crude derivatives.
CRUDE_OIL,SYMBOL,INDIGOPNTS,HURT,HIGH,input cost,A smaller paint maker with the same input basket and less room to absorb a rise.
CRUDE_OIL,SYMBOL,INDIGO,HURT,HIGH,fuel bill,Jet fuel is the single largest line in an airline's costs and it tracks crude almost directly.
CRUDE_OIL,SYMBOL,SPICEJET,HURT,HIGH,fuel bill,Fuel dominates the cost base and a weaker balance sheet leaves less room to absorb it.
CRUDE_OIL,SYMBOL,MRF,HURT,MEDIUM,input cost,Synthetic rubber and carbon black are crude derivatives.
CRUDE_OIL,SYMBOL,APOLLOTYRE,HURT,MEDIUM,input cost,Tyre raw materials move with crude.
CRUDE_OIL,SYMBOL,CEATLTD,HURT,MEDIUM,input cost,Tyre raw materials move with crude.
CRUDE_OIL,SYMBOL,BALKRISIND,HURT,MEDIUM,input cost,Off-highway tyres, same crude-linked raw material basket.
CRUDE_OIL,SECTOR,CHEMICALS,HURT,MEDIUM,feedstock,Much of the industry starts from petrochemical feedstock whose price follows crude.
CRUDE_OIL,SECTOR,LOGISTICS,HURT,MEDIUM,fuel bill,Diesel is the running cost of a fleet, and contracts usually reprice with a lag.
CRUDE_OIL,SECTOR,FMCG,HURT,LOW,packaging,Plastic packaging and freight are crude-linked, but they are a small share of the cost of a packet.
CRUDE_OIL,INDUSTRY,Construction Materials,HURT,LOW,fuel,Cement kilns burn petroleum coke, so a crude rise reaches the cost per tonne modestly.

# ============================================================================ INTEREST_RATES
# Rises = the RBI repo rate goes up.
INTEREST_RATES,SECTOR,BANKING,HELPED,LOW,lending margin,Bank loans are largely linked to the repo rate and reprice at once while deposits reprice with a lag, so a rise widens the margin for a while - the effect is real but it fades, and it turns into slower loan growth if rates stay high.
INTEREST_RATES,INDUSTRY,Financial Services,HURT,HIGH,funding cost,A non-bank lender borrows wholesale to lend, so a rate rise reaches its own cost of funds immediately with no deposit base to cushion it.
INTEREST_RATES,SECTOR,REALTY,HURT,HIGH,buyer affordability,A home is bought with a loan, and the monthly payment is what the buyer actually decides on.
INTEREST_RATES,SECTOR,AUTO,HURT,MEDIUM,buyer affordability,Most cars and two-wheelers in India are financed, so dearer credit thins the queue.
INTEREST_RATES,SECTOR,CONSUMER_DURABLES,HURT,MEDIUM,buyer affordability,Large appliances are frequently bought on easy-EMI schemes that get less easy.
INTEREST_RATES,INDUSTRY,Construction,HURT,MEDIUM,interest bill,Builders carry heavy debt against work in progress, so the interest line moves before the order book does.
INTEREST_RATES,SYMBOL,LICHSGFIN,HURT,HIGH,funding cost,A housing financier is squeezed at both ends: dearer borrowing and a buyer who can afford less.
INTEREST_RATES,SYMBOL,PNBHOUSING,HURT,HIGH,funding cost,Same squeeze as every other housing financier.
INTEREST_RATES,SYMBOL,CANFINHOME,HURT,HIGH,funding cost,Same squeeze as every other housing financier.
INTEREST_RATES,SYMBOL,AAVAS,HURT,HIGH,funding cost,Affordable housing lending, where the borrower is the most rate-sensitive of all.
