# Policy-backed emerging-theme map (SPEC 51.2) - which listed businesses sit in a theme the
# Government of India is actively funding, and which scheme puts it there.
#
# THIS FILE IS THE FEATURE, in the same sense macro-exposure.csv is. A theme tag is a claim about
# a business, and the only way an investor can disagree with a claim is to read it. So every row
# names the scheme, not a mood: "India Semiconductor Mission", not "chips are hot".
#
# WHAT A ROW IS NOT. A tag is not a score, a rating, a recommendation or a reason to own anything.
# Government money is a demand signal, never a quality signal - subsidised industries have
# destroyed capital in this country before - and the seven pillars (SPEC 1) still decide whether a
# business is worth owning. A theme decides only whether the app LOOKS at the business at all.
# Nothing in this file contributes a single point to any score (SPEC 51.1, SPEC 19).
#
# ROLE is the part of the chain the company actually occupies, because "semiconductor stock"
# covers a company building an assembly plant and a company writing verification software, and
# those are not the same investment. Where the exposure is a minority of revenue the role says so.
#
# COLUMNS: symbol,theme,policy,role
#   symbol - bare NSE trading symbol, no exchange prefix
#   theme  - one of the themes in ThemeCatalog; a symbol may appear on several rows
#   policy - the scheme, mission or policy that makes this a policy-backed theme
#   role   - where in the value chain, in plain words. May contain commas; it is the last field.
#
# A symbol this app cannot find in universe-sectors.csv is kept but reported as UNVERIFIED rather
# than as covered: a ticker nobody has confirmed must never be counted as a stock we track
# (Gotcha 44). Those are mostly genuine micro-caps outside NSE's index constituent lists.
#
# WHEN THIS FILE WAS LAST LOOKED AT. The two directives below are parsed, not decoration. Nothing
# in this app can update this map: there is no feed, no scheduler and no writer, so it evolves
# exactly as often as a person edits it. That matters more than it sounds, because a stale map
# fails in the FLATTERING direction - coverage is counted against this file's own denominator, so
# a map that stops growing while the market does not keeps reporting high coverage of a shrinking
# list. The instrument built to find a blind spot would become one. The data-health screen reads
# REVIEWED and says so once it is more than six months old; it never calls it a problem, because
# nothing schedules this file and amber that means "a job failed" would be a lie (Gotcha 125).
#
# Six months is the budget cycle: the Union Budget lands on 1 February and the PLI tranches and
# mission outlays move with it, so a map reviewed in one September is a budget behind by the next.
# What to re-read when the reminder fires: has a scheme been extended, closed or had its outlay
# revised (a row keeps its label while its justification quietly stops being true); have companies
# listed into these themes; and do the tickers still resolve.
#
# REVIEWED: 2026-09-19
# POLICY-AS-OF: Union Budget 2026-27 and the PLI/mission outlays announced up to September 2026

# ============================================================================ SEMICONDUCTORS
# India Semiconductor Mission (ISM) Rs 76000 cr; Modified SPECS; Design-Linked Incentive (DLI).
# India has no volume fab yet, so almost every listed name here is assembly and test (OSAT/ATMP)
# or design services - the capital-light end. Read the role column before assuming otherwise.
CGPOWER,SEMICONDUCTORS,India Semiconductor Mission (ISM),OSAT/ATMP plant at Sanand - a minority of group revenue today
KAYNES,SEMICONDUCTORS,India Semiconductor Mission (ISM),OSAT/ATMP plant at Sanand via Kaynes Semicon
HCLTECH,SEMICONDUCTORS,India Semiconductor Mission (ISM),OSAT joint venture - immaterial to a large IT services P&L
TATAELXSI,SEMICONDUCTORS,Design-Linked Incentive (DLI),Chip and embedded design services
MOSCHIP,SEMICONDUCTORS,Design-Linked Incentive (DLI),Semiconductor design services and turnkey ASIC
SPEL,SEMICONDUCTORS,India Semiconductor Mission (ISM),The oldest listed assembly and test business in India
ASMTEC,SEMICONDUCTORS,Design-Linked Incentive (DLI),Semiconductor engineering and equipment services
RIR,SEMICONDUCTORS,Modified SPECS,Power semiconductor devices

# ============================================================================ ELECTRONICS_EMS
# Large-Scale Electronics Manufacturing PLI; IT Hardware PLI 2.0; SPECS; phased manufacturing.
# The import-substitution trade. Margins are thin by nature - an EMS business earns its return on
# asset turns, so read capital efficiency (SPEC 12.8) before reading growth as quality.
DIXON,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,Contract manufacturing across mobiles displays and appliances
KAYNES,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,High-mix low-volume EMS for industrial rail and medical
SYRMA,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,EMS for industrial automotive and healthcare
AVALON,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,Full-stack EMS with US and India plants
AMBER,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,Room-air-conditioner contract manufacturing moving into electronics
PGEL,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,Plastics and appliance contract manufacturing
CENTUM,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,Electronics for defence aerospace and industrial customers
CYIENTDLM,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,EMS for aerospace defence and medical
ELIN,ELECTRONICS_EMS,Large-Scale Electronics Manufacturing PLI,EMS for lighting and small appliances

# ============================================================================ AI_DATA_CENTRES
# IndiaAI Mission Rs 10372 cr shared GPU compute; IT Hardware PLI 2.0; state data-centre policies;
# infrastructure status for data centres. Listed exposure splits three ways - whoever builds the
# shell, whoever powers and cools it, and whoever sells the boxes inside it.
NETWEB,AI_DATA_CENTRES,IndiaAI Mission,AI and high-performance-computing servers - the boxes inside the hall
ANANTRAJ,AI_DATA_CENTRES,State data-centre policies,Data-centre developer with a real-estate balance sheet underneath
TECHNOE,AI_DATA_CENTRES,State data-centre policies,Data-centre build alongside power transmission EPC
TATACOMM,AI_DATA_CENTRES,National Broadband Mission,Connectivity and colocation
RAILTEL,AI_DATA_CENTRES,National Broadband Mission,Edge data centres on railway land
HFCL,AI_DATA_CENTRES,National Broadband Mission,Optical fibre and networking equipment
STLTECH,AI_DATA_CENTRES,National Broadband Mission,Optical fibre and connectivity
BBOX,AI_DATA_CENTRES,State data-centre policies,Data-centre infrastructure integration
